timestamp,interaction_id,user_query,extracted_origin,extracted_destination,suggested_route_code,suggestion_confidence,assistant_response,user_feedback
,,Sou de Monte Mor e quero ir para Campinas,Sou de Monte,Campinas,709.0,0.579628,,
,,Sou de Monte Mor e quero ir para Campinas,Sou de Monte,Campinas,709.0,0.579628,,
,,Sou de Monte Mor e quero ir para Campinas,Sou de Monte,Campinas,,,"A melhor rota é a Linha 709, que vai de Monte Mor até Campinas.",
,,show de Hortolândia quero ir para,,,,,"Desculpe, não consegui entender a solicitação. Tente novamente com menos detalhes.",
,,tá eu eu todo mundo sou de Hortolândia quero ir para,,,,,"Desculpe, não consegui entender a solicitação. Tente novamente com menos detalhes.",
,,Hortolândia senhor de Hortolândia quero ir para,,,,,"Desculpe, não consegui entender a solicitação. Tente novamente com menos detalhes.",
,,estou em Hortolândia quero ir para Campinas,,,,,"Desculpe, não consegui entender a solicitação. Tente novamente com menos detalhes.",
,,Hortolândia Campinas,,,,,"Desculpe, não consegui entender a solicitação. Tente novamente com menos detalhes.",
,,o Gusttavo Lima aí sou de Hortolândia quero ir para Campinas,,,,,"A melhor rota é a Linha 746, que vai de Hortolândia até Campinas.",
,,assistir o filme do Five nights freddy's,,,,,"“A melhor rota é a Linha 1, que vai de São Paulo até Pinheiral.”",
,,meu ônibus atrasou,,,,,"The best route is the Linha 51, which goes from DIADEMA (VILA SAO JOSE) to SAUDE in São Paulo.",
,,obrigado obrigado obrigado obrigado obrigado obrigado obrigado obrigado,,,,,"The best route is the Linha 487, which connects Maughan to Santo Andre.",
,5ff3bf43-d4b5-4564-9780-06e9ca97ca06,estou de Hortolândia quero ir para,,,,,"A melhor rota é a Linha 746, que vai de Hortolândia até Campinas.",feedback_positivo_concluido: obrigado
,ff6a320f-0581-43c0-b106-901d553a2b2f,cheguei no meu ponto muito obrigado,,,,,"A melhor rota é a Linha 708, que vai de Monte Mor até Campinas.",feedback_problema_viagem: meu ônibus atrasou
,658e94b5-47db-4592-afc8-505439f1970a,meu ônibus atrasou,,,,,"The best route is the Linha 51, which goes from DIADEMA (VILA SAO JOSE) to SAUDE in São Paulo.",
,7377126f-0f1a-4111-9af4-6eea649d5418,céu de Hortolândia quero ir para,,,,,"The best route is the Linha 746, which goes from Hortolândia to Campinas.",feedback_positivo_concluido: obrigado
,8fa5f559-e36c-4f1d-a729-11cb57ec08c8,obrigado obrigado,,,,,"“A melhor rota é a Linha 487, que vai de Monte Mor até Santo André.”",
,46b8d221-1c61-4cb4-ba4d-109a26a65f65,lalala,,,,,"The best route is the Linha 487, which goes from MAUÁ to Santo André.",
,e1ddf92d-3de0-4c5d-a406-ca8276e42c72,céu de Hortolândia quero ir para,,,,,"The best route is the Linha 746, which goes from Hortolândia to Campinas.",feedback_generico: Olá tudo bem
,d8b19ba9-1c08-4f90-9ca7-e4089209e6e2,sou de Hortolândia quero ir para,,,,,"A melhor rota é a Linha 746, que vai de Hortolândia até Campinas.",feedback_positivo_concluido: Muito obrigado
,d1cdbb13-e597-43e3-b0a6-ebe32d01b11d,,,,,,,
,b95cfeb3-430f-48b3-bea9-b1fd7e034142,,,,,,,
,5ebf0b54-da50-468e-b08f-dc5cc9fe0078,,,,,,,
,4fdd8f32-8370-45d4-8318-1aba34db1e03,,,,,,,
,1a5e3bd2-33cc-48da-8c3c-1afa9d08b626,,,,,,,
,1463c8dd-e47a-426e-a049-1107e8947c7d,,,,,,,
,5cf3ed16-5486-4b1e-b3d9-453db9b13813,sou no Jardim Amanda e quero ir para Campinas,,,,,"A melhor rota é a Linha 652EX2, que vai de Jardim Amanda até Campinas.",feedback_generico: coxa
,0358e223-7d29-4de6-a3d0-5483618ad7ce,você vai pegar,,,,,"A melhor rota é a Linha 487, que vai de Monte Mor até Santo André.",
,4e1a4aa3-3dff-4822-9d7f-c10f5546a474,eu tô em Hortolândia eu queria ir para Campinas,,,,,"A melhor rota é a Linha 746, que vai de Hortolândia até Campos do Jordão.",feedback_generico: acho que não vai para Campos do Jordão
,b9b51a76-36d5-4038-ab7f-beceb39a8633,sou de Hortolândia quero ir para Campinas,,,,,"A melhor rota é a Linha 746, que vai de Hortolândia até Campos do Jordão.",
,73abeb13-cce0-497b-8960-8f7afe630958,sou de Hortolândia quero ir para Campinas,,,,,"A melhor rota é a Linha 746, que vai de Hortolândia até Campos do Jordão.",
,f9c2f855-7601-4f41-beb5-b347938fa0b3,sou de Hortolândia quero ir para,,,,,"A melhor rota é a Linha 746, que vai de Hortolandaia ao Campinas.",feedback_generico: abrir a
,e391983a-0774-43e6-b32e-0968e176a47c,Sou de Hortolândia quero ir para Campinas,,,,,"A melhor rota é a Linha 746, que vai de Hortolândia até Campos do Jordão.",
,02ff7f90-b490-4d1a-b07c-5e7d62bc216e,Sou de Hortolândia quero ir para Campinas,,,,,"A melhor rota é a Linha 746, que vai de Hortolândia até Campos do Jordão.",
,5830273d-9cd3-4477-bda7-8464ef2b1f7f,Sou de Hortolândia quero ir para Campinas,,,,,"A melhor rota é a Linha 746, que vai de Hortolândia até Campos do Jordão.",
,14a2b937-fa19-4fdc-8cf0-f3f6789c3f43,Sou de Hortolândia quero ir para Campinas,,,,,"A melhor rota é a Linha 746, que vai de Hortolândia até Campos do Jordão.",
,a0bd825a-142f-4223-a05c-5e7ed64fd613,Sou de Hortolândia quero ir para Campinas,,,,,"A melhor rota é a Linha 746, que vai de Hortolândia até Campos do Jordão.",
,0d7bd24e-1782-4954-a771-994d5f94a920,Sou de Hortolândia quero ir para Campinas,,,,,"A melhor rota é a Linha 746, que vai de Hortolândia até Campos do Jordão.",
,57b8c8a8-ad80-4903-b6a4-8644578c08d3,Sou de Hortolândia quero ir para Campinas,,,,,"A melhor rota é a Linha 746, que vai de Hortolândia até Campos do Jordão.",
,c8ad573b-60a8-4d4a-b74d-e3c942177765,Sou de Hortolândia quero ir para Campinas,,,,,"A melhor rota é a Linha 746, que vai de Hortolândia até Campos do Jordão.",
,e787d736-b80d-42fb-a895-ee5826ff130b,Sou de Hortolândia quero ir para Campinas,,,,,"A melhor rota é a Linha 746, que vai de Hortolândia até Campos do Jordão.",
,abd6a431-5e7a-4cc3-9928-a20d8759b040,Sou de Hortolândia quero ir para Campinas,,,,,"A melhor rota é a Linha 746, que vai de Hortolândia até Campos do Jordão.",
,f7ee5344-f8e8-459f-aeb9-16696b117e80,Sou de Hortolândia quero ir para Campinas,,,,,"A melhor rota é a Linha 746, que vai de Hortolândia até Campos do Jordão.",
,01321aa0-c4f4-4966-8983-7a52ab7dffdf,,,,,,,
,53bab118-cee7-4d0f-9d0f-17eb3a22eb13,Sou de Hortolândia quero ir para Campinas,,,,,"A melhor rota é a Linha 746, que vai de Hortolândia até Campos do Jordão.",
,194431e3-cf4b-481a-9f1d-4abf86cd95d7,,,,,,,
,090fb5bb-d59e-4129-9662-1cd4bd95ae54,Sou de Hortolândia quero ir para Campinas,,,,,"A melhor rota é a Linha 746, que vai de Hortolândia até Campos do Jordão.",
,c47a0370-1eb1-4a6d-8d7b-11d52776cb76,,,,,,,
,e7545efc-c750-4ce1-9a87-0d841c7b9c44,Sou de Hortolândia quero ir para Campinas,,,,,"A melhor rota é a Linha 746, que vai de Hortolândia até Campos do Jordão.",
,04a7219a-6be0-4280-a62f-0b1a009b1c99,,,,,,,
,102dd241-17f8-49f4-a475-422d0cd9f6a1,,,,,,,
,3b921ed2-e76b-46f8-aecf-61092429e73d,,,,,,,
,81a6f4f6-bc36-4b9d-a16d-b35142de7043,,,,,,,
,3fe21564-1e00-49c4-a804-998b11c96a7a,sou de Hortolândia quero,,,,,"A melhor rota é a Linha 746, que vai de Hortolândia até Campinas.",
,8e77f9ff-3532-4cab-a491-c2af6e5bbc00,,,,,,,
,d95de704-c934-49eb-beaf-c43e4054976e,,,,,,,
,3497b081-ebb4-4077-9bd3-cec869c89c6f,,,,,,,
,944fc2c9-6c10-41fa-8e83-753d76882a86,,,,,,,
,41580a0f-fbed-40dd-9994-487c54ea0440,,,,,,,
,baeeb500-994b-4374-bd32-80f55b3c7cfb,tá girando o pontinho 0.56 de confiabilidade que,,,,,"A melhor rota é a Linha 487, que vai de MAUA (TERMINAL METROPOLITANO SONIA MARIA) até SANTO ANDRE (SHOPPING ABC).",
,e5f50eb0-9603-4907-a274-d511e292099b,,,,,,,
,528d0c6a-1186-4cce-96dc-58080db3fd61,,,,,,,
,cd3ad3c8-5d59-41aa-bcae-9841db9f6034,,,,,,,
,0fe786b0-76df-4c5a-9b97-409a5c73e3a3,,,,,,,
,8fa35c0a-5834-4d43-ab23-caa1d45791be,,,,,,,
,b020fb56-cdbe-452f-87f5-01ed2151abff,Que horas sao?,,,,,Não há informações sobre o horário.,
,12d21f41-13eb-4627-9706-70de2894035f,,,,,,,
,424b9ce6-3d46-450a-9784-dc4615e045fa,Que horas sao?,,,,,Não há informações sobre o horário.,
,75a957b6-51ae-4532-b22f-68f86ed3b471,,,,,,,
,59f99b18-f22f-497a-905d-ab1f4d628d86,Que horas sao?,,,,,Não há informações sobre o horário.,
,5aaa168a-71d4-451c-bf46-bfb41227eb05,,,,,,,
,7242c154-324e-4031-a74a-4f720baba410,Que horas sao?,,,,,Não há informações sobre o horário.,
,6d3ed5fc-8cad-4d27-90be-b4a3c0cc3af1,,,,,,,
,9debfa1a-72e5-4c73-b7f6-5533e0e19cec,,,,,,,
,12dae1ce-9b67-4ea0-a498-6449cc9f28c2,,,,,,,
,bd43f86e-9eac-4f99-8c5b-56ac87a7e47b,,,,,,,
,96306bfc-8729-4f39-8125-f8c0a2ff27d1,"Sou de São Paulo, quero ir para Campinas",,,,,"A melhor rota é a Linha 708, que vai de Saõ Bernardo do Campo (Jardim Las Palmas) até Terminal Rodoviário Tietê.",
,7696c986-3d22-4285-bb81-c9ae2032d663,,,,,,,
,52719055-94c8-4e5b-8777-9fbd8feec2e5,"Sou de São Paulo, quero ir para Campinas",,,,,"A melhor rota é a Linha 708, que vai de Saõ Bernardo do Campo (Jardim Las Palmas) até Terminal Rodoviário Tietê.",
,ed2adaa5-7fc0-45e1-88f2-0ec76f635708,,,,,,,
,02161e7b-8e25-4a4a-b86d-70f5e6497a9e,"Sou de São Paulo, quero ir para Campinas",,,,,"A melhor rota é a Linha 708, que vai de Saõ Bernardo do Campo (Jardim Las Palmas) até Terminal Rodoviário Tietê.",
