RouteCode,RouteStart,RouteEnd,llm_generated
001,ITAPECERICA DA SERRA (PARQUE PARAISO),SAO PAULO (METRO CAPAO REDONDO),"oi, como eu faco pra chegar em sao paulo saindo de sao jose do rio preto?"
002,EMBU DAS ARTES (ENGENHO VELHO),SAO PAULO (METRO CAPAO REDONDO),como eu faco pra chegar em sao paulo saindo de embuadas artes?
003,GUARULHOS (COCAIA),SAO PAULO (METRO TUCURUVI),"oi, como eu faco pra ir de guarulhos (cocaia) ate sao paulo?"
004,SAO BERNARDO DO CAMPO (PARQUE ALVARENGA),SAO PAULO (TERMINAL SACOMA),"oi, to em parque alvarena e quero saber como chegar em sao paulo."
006,SAO BERNARDO DO CAMPO (JARDIM NAZARETH),SAO PAULO (TERMINAL SACOMA),como eu faco pra chegar do jardim nazareth em sao bernardo do campo ate o terminal sacramento?
008,SAO CAETANO DO SUL (NOVA GERTI),SAO PAULO (TERMINAL SACOMA),como eu faco pra chegar de sao paulo ate sao casemiro (nova gerti)?
011,GUARULHOS (PARQUE CONTINENTAL II),SAO PAULO (METRO ARMENIA),como eu faco pra chegar de guarulhos (parque continental ii) em sao paulo?
011PR1,GUARULHOS (PARQUE CONTINENTAL III),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar do parque continental iii em sao paulo?"
012,EMBU-GUACU (VILA DIRCE),SAO PAULO (TERMINAL GRAJAU),"oi, como eu faco pra chegar de embu-guacu em sao paulo?"
014,FRANCO DA ROCHA (PARQUE VITORIA),CAIEIRAS (TERMINAL RODOVIARIO ALIPIO MARTINHO),"oi, como eu faco pra sair do franco da rocha e ir ate as cairias?"
016,GUARULHOS (TERMINAL METROPOLITANO TABOAO),SAO PAULO (METRO ARMENIA),"oi, como eu faco pra chegar de guarulhos ate o metro armenia?"
020,CARAPICUIBA (VILA DIRCE),OSASCO (VILA YARA),"oi, como eu faco pra ir de carapicuiba (vila dirce) ate a vila yara?"
022,CARAPICUIBA (VILA DIRCE),OSASCO (VILA YARA),"oi, como eu faco pra ir de carapicuiba pra osasco?"
023,CARAPICUIBA (COHAB V),OSASCO (VILA YARA),"oi, como eu faco pra chegar em osasco saindo da cabaricuiba (cohab v)?"
024,ITAPEVI (JARDIM AMADOR BUENO),COTIA (TERMINAL METROPOLITANO DE COTIA),como eu faco pra ir do itapevi (jardim amador bueno) ate o terminal metropolitano de cotia?
