test_case,task,expected,predicted,confidence,source,is_correct
Obrigado ae,intent_classification,conversacao_geral,conversacao_geral,0.9888253990275175,svm,True
Esse aplicativo esta travando,intent_classification,feedback,feedback,0.98347024320045,svm,True
Pode conversar comigo?,intent_classification,conversacao_geral,conversacao_geral,0.9955680958216014,svm,True
Como chego em Hospital Municipal?,intent_classification,solicitar_rota,solicitar_rota,0.9940559014331063,svm,True
Me fala noticias de quarta,intent_classification,desconhecido,conversacao_geral,0.609873667339299,svm,False
Houve mudança na rota,intent_classification,feedback,feedback,0.4806529637056254,llm,True
O ultimo banco do onibus esta quebrado,intent_classification,feedback,feedback,0.9478174618141485,svm,True
Valeu,intent_classification,conversacao_geral,conversacao_geral,0.9955611380745285,svm,True
Qual ônibus para Shopping?,intent_classification,solicitar_rota,solicitar_rota,0.9905708680441835,svm,True
Traduz essa frase,intent_classification,desconhecido,desconhecido,0.9001659185031406,svm,True
O que é um sudo?,intent_classification,desconhecido,conversacao_geral,0.9390547977509879,svm,False
Traçar rota para Hospital Municipal,intent_classification,solicitar_rota,solicitar_rota,0.9953819495495417,svm,True
Qual ônibus para Shopping?,intent_classification,solicitar_rota,solicitar_rota,0.9905708680441835,svm,True
Testanto aqui,intent_classification,conversacao_geral,conversacao_geral,0.9704695711147929,svm,True
Sapo faz qual som?,intent_classification,desconhecido,conversacao_geral,0.8958103858917862,svm,False
Não estou reconhecendo essa rota,intent_classification,feedback,conversacao_geral,0.6755139712488806,svm,False
Agora estou em horario de pico,intent_classification,feedback,feedback,0.4817500319343377,llm,True
Qual o ponto mais perto de Praça Matriz?,intent_classification,solicitar_rota,solicitar_rota,0.9953221899112098,svm,True
Baguete é gostoso?,intent_classification,desconhecido,conversacao_geral,0.876741998124421,svm,False
Carros é um bom filme?,intent_classification,desconhecido,desconhecido,0.7347081555196745,svm,True
Rota do ponto Jardim Amanda ao Hospital Municipal,intent_classification,solicitar_rota,solicitar_rota,0.9933392637839203,svm,True
Como chego em Terminal B?,intent_classification,solicitar_rota,solicitar_rota,0.9947609182586441,svm,True
Onibus esta super lotado,intent_classification,feedback,feedback,0.8043730501553673,svm,True
Obrigado!,intent_classification,conversacao_geral,conversacao_geral,0.9955254074425935,svm,True
Ponto de onibus muito escuro,intent_classification,feedback,feedback,0.9296057840914136,svm,True
Me fala um filme ai,intent_classification,desconhecido,desconhecido,0.6878344558442923,svm,True
Existe navegador?,intent_classification,desconhecido,desconhecido,0.9772474139846333,svm,True
Motorista muito simpático,intent_classification,feedback,feedback,0.9982297598196137,svm,True
