user_text,intent
Obrigado!,conversacao_geral
Qual a capital da Noruega?,desconhecido
Estou testando,conversacao_geral
Informação do app não confere,feedback
Preciso ir até Estação Sul saindo de Campinas,solicitar_rota
"Oi, estou chegando agora e queria saber como uso o assistente",conversacao_geral
Agenda uma reunião amanhã,desconhecido
Qual a senha do Wi-Fi?,desconhecido
q onibus vai pra Terminal B?,solicitar_rota
Próximo ônibus para Shopping Central,solicitar_rota
Motorista dirigiu com cuidado,feedback
q onibus vai pra Rodoviária?,solicitar_rota
Me leva para Terminal B,solicitar_rota
Banco quebrado no fundo,feedback
sudo apt-get install algo,desconhecido
Qual o melhor trajeto para Centro?,solicitar_rota
Tarifa muito alta,feedback
ir de Centro pra Rodoviária,solicitar_rota
Tá me ouvindo?,conversacao_geral
app travando,feedback
ir de Campinas pra Jardim São Paulo,solicitar_rota
Demora para atualizar horários,feedback
Obrigado!,conversacao_geral
Qual o resultado do jogo do Brasil?,desconhecido
asdfghjk,desconhecido
Como aprender violão rápido?,desconhecido
Sou de Parque das Flores quero ir para Praça Matriz,solicitar_rota
Como chego em Centro?,solicitar_rota
Pode falar comigo?,conversacao_geral
Rota mudou sem aviso,feedback
Não entendi,conversacao_geral
rota Parque das Flores p Estação Sul,solicitar_rota
Reclamação sobre limpeza do veículo,feedback
Agenda uma reunião amanhã,desconhecido
Quem é você?,conversacao_geral
Que horas passa a linha 909?,solicitar_rota
Como posso começar a usar?,conversacao_geral
Ônibus muito lotado,feedback
Qual ônibus para Estação Sul?,solicitar_rota
Não gostei do motorista,feedback
nao to entendendo nd,desconhecido
Me leva para Estação Sul,solicitar_rota
Ar-condicionado gelando demais,feedback
"Oi, estou chegando agora e queria saber como uso o assistente",conversacao_geral
Me ligue mais tarde,desconhecido
"Tenho que ir para Aeroporto, ajuda",solicitar_rota
Tá me ouvindo?,conversacao_geral
Tarifa muito alta,feedback
Motorista dirigiu com cuidado,feedback
E aí?,conversacao_geral
Ônibus muito lotado,feedback
Instale esse programa,desconhecido
Me mostra a rota até Centro,solicitar_rota
Gostei do atendimento,feedback
Pode explicar como usar?,conversacao_geral
Informação do app não confere,feedback
Me mostra a rota até Hospital Municipal,solicitar_rota
