RouteStart,RouteEnd,llm_generated
ITAPECERICA DA SERRA (PARQUE PARAISO),SAO PAULO (METRO CAPAO REDONDO),como eu vou do itapecerica da serra para o metro capa redondo?
ITAPECERICA DA SERRA (PARQUE PARAISO),SAO PAULO (METRO CAPAO REDONDO),como eu vou do itapecerica da serra (parque paraiso) para o metro capaco rondonia?
ITAPECERICA DA SERRA (PARQUE PARAISO),SAO PAULO (METRO CAPAO REDONDO),como eu vou do itapecerica da serra (parque paraiso) para o metro capao redondo?
EMBU DAS ARTES (ENGENHO VELHO),SAO PAULO (METRO CAPAO REDONDO),como eu chego do engenho velho em embu das artes ate o metro capao redondo?
EMBU DAS ARTES (ENGENHO VELHO),SAO PAULO (METRO CAPAO REDONDO),como eu vou do engenho velho para o metro capaco rondonia?
EMBU DAS ARTES (ENGENHO VELHO),SAO PAULO (METRO CAPAO REDONDO),to em engocao e quero saber como ir do metro de sao paulo ate o metro capao redondo.
GUARULHOS (COCAIA),SAO PAULO (METRO TUCURUVI),to em guarulhos e quero saber como chegar em sao paulo.
GUARULHOS (COCAIA),SAO PAULO (METRO TUCURUVI),to em guarulhos e to procurando um jeito de ir para sao paulo.
GUARULHOS (COCAIA),SAO PAULO (METRO TUCURUVI),to em guarulhos e quero saber como ir do meu lugar pra sao paulo.
SAO BERNARDO DO CAMPO (PARQUE ALVARENGA),SAO PAULO (TERMINAL SACOMA),como eu faco pra ir do sao bernardo do campo para o sao paulo?
SAO BERNARDO DO CAMPO (PARQUE ALVARENGA),SAO PAULO (TERMINAL SACOMA),como eu faco pra ir do parque alvarena em sao bernardo do campo para o terminal sacramento?
SAO BERNARDO DO CAMPO (PARQUE ALVARENGA),SAO PAULO (TERMINAL SACOMA),to no sao bernardo do campo e quero saber como ir do parque alvarena pro terminal sacramento.
SAO BERNARDO DO CAMPO (JARDIM NAZARETH),SAO PAULO (TERMINAL SACOMA),como eu faco para ir do jardim nacional da saudade em sao bernardo do campo ate o terminal sacramento em sao paulo?
SAO BERNARDO DO CAMPO (JARDIM NAZARETH),SAO PAULO (TERMINAL SACOMA),to em sao bernardo do campo (jardim nazareth) e quero saber como ir para o terminal sacoma.
SAO BERNARDO DO CAMPO (JARDIM NAZARETH),SAO PAULO (TERMINAL SACOMA),to em sao bernardo do campo (jardim nazareth) e quero saber como ir do jardim nazare para o terminal sacramento.
SAO CAETANO DO SUL (NOVA GERTI),SAO PAULO (TERMINAL SACOMA),como eu chego do sao caetano do sul (nova gerti) ate o sao paulo (terminal sacoma)?
SAO CAETANO DO SUL (NOVA GERTI),SAO PAULO (TERMINAL SACOMA),como eu vou de sao caetano do sul (nova gerti) para sao paulo (terminal sacoma)?
SAO CAETANO DO SUL (NOVA GERTI),SAO PAULO (TERMINAL SACOMA),como eu vou do sao caetano do sul (nova gerti) para o sao paulo (terminal sacoma)?
GUARULHOS (PARQUE CONTINENTAL II),SAO PAULO (METRO ARMENIA),como eu chego do guarulhos (parque continental ii) em sao paulo?
GUARULHOS (PARQUE CONTINENTAL II),SAO PAULO (METRO ARMENIA),como eu faco para ir do guarulhos (parque continental ii) ate o sao paulo (metro armenia)?
GUARULHOS (PARQUE CONTINENTAL II),SAO PAULO (METRO ARMENIA),como eu chego do guarulhos (parque continental ii) ate o sao paulo (metro armenia)?
GUARULHOS (PARQUE CONTINENTAL III),SAO PAULO (METRO ARMENIA),como eu vou do guarulhos ao metro armenia?
GUARULHOS (PARQUE CONTINENTAL III),SAO PAULO (METRO ARMENIA),como eu faco para ir do guarulhos (parque continental iii) ate o sao paulo (metro armenia)?
GUARULHOS (PARQUE CONTINENTAL III),SAO PAULO (METRO ARMENIA),como eu faco para ir do guarulhos (parque continental iii) ate o sao paulo (metro armenia)?
