test_case,task,expected,predicted,confidence,source,is_correct
Qual seu nome?,intent_classification,conversacao_geral,conversacao_geral,0.9955118632437792,svm,True
Parada sem iluminação,intent_classification,feedback,feedback,0.9938174688170892,svm,True
Estou testando,intent_classification,conversacao_geral,conversacao_geral,0.9955762642253894,svm,True
Qual o caminho de ônibus de Hortolândia até Rodoviária em Campinas?,intent_classification,solicitar_rota,solicitar_rota,0.9967012293696865,svm,True
sudo apt-get install algo,intent_classification,desconhecido,desconhecido,0.9943047061159899,svm,True
Ônibus muito lotado,intent_classification,feedback,feedback,0.9944713696477772,svm,True
Não gostei do motorista,intent_classification,feedback,feedback,0.995316753413964,svm,True
Quem é você?,intent_classification,conversacao_geral,conversacao_geral,0.9956357413120318,svm,True
"Saindo de Vila Nova, qual ônibus pego para chegar em Aeroporto em Campinas?",intent_classification,solicitar_rota,solicitar_rota,0.9961679067416069,svm,True
vc joga?,intent_classification,desconhecido,desconhecido,0.9940110241114777,svm,True
Traduza isto para francês,intent_classification,desconhecido,desconhecido,0.9939856086758008,svm,True
"Preciso de uma rota de Jardim Amanda para Hospital Municipal em Campinas, qual ônibus usar?",intent_classification,solicitar_rota,solicitar_rota,0.9934864050829505,svm,True
"Estou no bairro Sumaré, quero chegar no Rodoviária em Campinas, qual é a rota?",intent_classification,solicitar_rota,solicitar_rota,0.993679539205151,svm,True
Não entendi,intent_classification,conversacao_geral,conversacao_geral,0.9953730696115469,svm,True
Como fazer bolo de cenoura?,intent_classification,desconhecido,desconhecido,0.994267260754445,svm,True
O ônibus atrasou 15 minutos,intent_classification,feedback,feedback,0.9962431213461435,svm,True
Ônibus muito lotado,intent_classification,feedback,feedback,0.9944713696477772,svm,True
"Saindo de Centro, qual ônibus devo pegar para chegar no Campinas?",intent_classification,solicitar_rota,solicitar_rota,0.9916836438839246,svm,True
pode tocar musica,intent_classification,desconhecido,desconhecido,0.9942403077297935,svm,True
Quero assistir um filme agora,intent_classification,desconhecido,desconhecido,0.9942976824382582,svm,True
"Estou no bairro Sumaré, quero chegar no Rodoviária em Campinas, qual é a rota?",intent_classification,solicitar_rota,solicitar_rota,0.993679539205151,svm,True
"Estou em Terminal A e quero ir até Shopping, qual linha devo pegar?",intent_classification,solicitar_rota,solicitar_rota,0.9888882752482203,svm,True
Aplicativo travando,intent_classification,feedback,feedback,0.9840715301807174,svm,True
E aí?,intent_classification,conversacao_geral,conversacao_geral,0.9955904140051345,svm,True
Motorista foi educado,intent_classification,feedback,feedback,0.9945629136094304,svm,True
Abre o navegador,intent_classification,desconhecido,desconhecido,0.9935427517869101,svm,True
Qual o resultado do jogo do Brasil?,intent_classification,desconhecido,desconhecido,0.9944187690787376,svm,True
Informação do app não confere,intent_classification,feedback,feedback,0.9945393737493552,svm,True
"Saindo de Paulínia, qual ônibus pego para chegar em Shopping em Campinas?",intent_classification,solicitar_rota,solicitar_rota,0.9948943717655799,svm,True
Linha 305 demorou demais,intent_classification,feedback,feedback,0.9940931481076273,svm,True
Gostei do atendimento,intent_classification,feedback,feedback,0.9942434871774202,svm,True
Quem é você?,intent_classification,conversacao_geral,conversacao_geral,0.9956357413120318,svm,True
"Saindo de Sumaré, qual ônibus devo pegar para chegar no Rodoviária?",intent_classification,solicitar_rota,solicitar_rota,0.9929789038466096,svm,True
Agenda uma reunião amanhã,intent_classification,desconhecido,desconhecido,0.994037224372577,svm,True
"Preciso de uma rota de Centro para Shopping em Campinas, qual ônibus usar?",intent_classification,solicitar_rota,solicitar_rota,0.9932074923976598,svm,True
Elogio para a linha 417,intent_classification,feedback,feedback,0.9940329752529086,svm,True
Ajuda por favor,intent_classification,conversacao_geral,conversacao_geral,0.9955158049036555,svm,True
