text,expected_intent,expected_origin,expected_destination
Olá,conversacao_geral,,
"Bom dia, tudo bem?",conversacao_geral,,
"E aí, BusSense",conversacao_geral,,
Oi,conversacao_geral,,
Boa tarde,conversacao_geral,,
Boa noite,conversacao_geral,,
Obrigado,conversacao_geral,,
Valeu pela ajuda!,conversacao_geral,,
Muito obrigado!,conversacao_geral,,
Tchau,conversacao_geral,,
Até mais,conversacao_geral,,
Quem é você?,conversacao_geral,,
Como você funciona?,conversacao_geral,,
Qual o seu nome?,conversacao_geral,,
"Adorei o aplicativo, muito bom!",feedback,,
"Esse app é muito útil, parabéns.",feedback,,
"Funcionou perfeitamente, obrigado.",feedback,,
"Obrigado, a informação estava correta.",feedback,,
O motorista foi muito educado.,feedback,,
O app travou e tive que reiniciar.,feedback,,
A informação da rota estava errada.,feedback,,
O motorista não parou no ponto.,feedback,,
O ônibus está muito atrasado.,feedback,,
Não consigo ouvir a resposta direito.,feedback,,
O serviço hoje está péssimo.,feedback,,
Poderia ser melhor.,feedback,,
Qual o ônibus para ir de Campinas até Valinhos?,solicitar_rota,Campinas,Valinhos
como eu chego em Hortolândia saindo de Sumaré?,solicitar_rota,Sumaré,Hortolândia
Itinerário de Monte Mor para Paulínia,solicitar_rota,Monte Mor,Paulínia
Me mostra a rota de Valinhos para Campinas,solicitar_rota,Valinhos,Campinas
Preciso ir para o centro de Campinas,solicitar_rota,UNKNOWN,centro de Campinas
Qual a linha de ônibus que vai para o Shopping Dom Pedro?,solicitar_rota,UNKNOWN,Shopping Dom Pedro
"De Hortolândia para o centro, qual pego?",solicitar_rota,Hortolândia,centro
Linha de ônibus entre Paulínia e Cosmópolis,solicitar_rota,Paulínia,Cosmópolis
Como ir de Americana para Santa Bárbara d'Oeste?,solicitar_rota,Americana,Santa Bárbara d'Oeste
quero ir para Indaiatuba,solicitar_rota,UNKNOWN,Indaiatuba
"Saindo de Vinhedo, como chego em Campinas?",solicitar_rota,Vinhedo,Campinas
Existe ônibus direto de Jundiaí para Campinas?,solicitar_rota,Jundiaí,Campinas
ônibus para o terminal de Sumaré,solicitar_rota,UNKNOWN,terminal de Sumaré
"Partindo de Monte Mor, qual a melhor rota para o aeroporto de Viracopos?",solicitar_rota,Monte Mor,aeroporto de Viracopos
Me veja um ônibus de Campinas para São Paulo,solicitar_rota,Campinas,São Paulo
Rota para o hospital Mário Gatti,solicitar_rota,UNKNOWN,hospital Mário Gatti
Qual o último ônibus de Campinas para Valinhos hoje?,solicitar_rota,Campinas,Valinhos
Tem ônibus de Sumaré para a Unicamp?,solicitar_rota,Sumaré,Unicamp
Linha que passa no centro de Hortolândia,solicitar_rota,UNKNOWN,centro de Hortolândia
Como chegar no terminal metropolitano de Campinas?,solicitar_rota,UNKNOWN,terminal metropolitano de Campinas
O app funciona bem,feedback,,
Gostaria de registrar uma reclamação,feedback,,
"Ok, entendi",conversacao_geral,,
"Pode repetir, por favor?",conversacao_geral,,
Não entendi a resposta,conversacao_geral,,
Qual o preço da passagem?,conversacao_geral,,
Preciso de ajuda,conversacao_geral,,
socorro,conversacao_geral,,
Qual o horário do primeiro ônibus de Monte Mor para Campinas?,solicitar_rota,Monte Mor,Campinas
Me fala uma linha de Paulínia para Americana,solicitar_rota,Paulínia,Americana
Estou em Valinhos e quero ir para Vinhedo,solicitar_rota,Valinhos,Vinhedo
Como faço para ir ao trabalho em Campinas?,solicitar_rota,UNKNOWN,trabalho em Campinas
O som está muito baixo,feedback,,
"A resposta foi rápida, gostei",feedback,,
Isso não me ajudou,feedback,,
Poderia ter mais opções de rotas,feedback,,
"Obrigado, era isso mesmo",conversacao_geral,,
Entendido,conversacao_geral,,
Certo,conversacao_geral,,
Qual a previsão de chegada do ônibus de Sumaré para Campinas?,solicitar_rota,Sumaré,Campinas
Quero ir para o Parque Taquaral,solicitar_rota,UNKNOWN,Parque Taquaral
Linha que vai de Indaiatuba para o aeroporto,solicitar_rota,Indaiatuba,aeroporto
