RouteCode,RouteStart,RouteEnd
1,ITAPECERICA DA SERRA (PARQUE PARAISO),SAO PAULO (METRO CAPAO REDONDO)
2,EMBU DAS ARTES (ENGENHO VELHO),SAO PAULO (METRO CAPAO REDONDO)
3,GUARULHOS (COCAIA),SAO PAULO (METRO TUCURUVI)
4,SAO BERNARDO DO CAMPO (PARQUE ALVARENGA),SAO PAULO (TERMINAL SACOMA)
6,SAO BERNARDO DO CAMPO (JARDIM NAZARETH),SAO PAULO (TERMINAL SACOMA)
8,SAO CAETANO DO SUL (NOVA GERTI),SAO PAULO (TERMINAL SACOMA)
11,GUARULHOS (PARQUE CONTINENTAL II),SAO PAULO (METRO ARMENIA)
011PR1,GUARULHOS (PARQUE CONTINENTAL III),SAO PAULO (METRO ARMENIA)
12,EMBU-GUACU (VILA DIRCE),SAO PAULO (TERMINAL GRAJAU)
14,FRANCO DA ROCHA (PARQUE VITORIA),CAIEIRAS (TERMINAL RODOVIARIO ALIPIO MARTINHO)
16,GUARULHOS (TERMINAL METROPOLITANO TABOAO),SAO PAULO (METRO ARMENIA)
20,CARAPICUIBA (VILA DIRCE),OSASCO (VILA YARA)
22,CARAPICUIBA (VILA DIRCE),OSASCO (VILA YARA)
23,CARAPICUIBA (COHAB V),OSASCO (VILA YARA)
24,ITAPEVI (JARDIM AMADOR BUENO),COTIA (TERMINAL METROPOLITANO DE COTIA)
25,SUZANO (CIDADE EDSON),MOGI DAS CRUZES (ESTACAO CPTM ESTUDANTES)
27,SANTO ANDRE (TERMINAL METROPOLITANO SANTO ANDRE-LESTE),SAO PAULO (JARDIM TIETE)
027EX1,SANTO ANDRE (HOSPITAL MARIO COVAS),SAO PAULO (JARDIM TIETE)
30,JUQUITIBA (BARNABES),ITAPECERICA DA SERRA (VALO VELHO)
030BI1,JUQUITIBA (BAIRRO DOS JUSTINOS),ITAPECERICA DA SERRA (VALO VELHO)
31,EMBU-GUACU (CHACARA FLORIDA),ITAPECERICA DA SERRA (VALO VELHO)
32,ITAPECERICA DA SERRA (PARQUE PARAISO),SAO PAULO (METRO VILA SONIA)
032DV1,ITAPECERICA DA SERRA (PARQUE PARAISO),SAO PAULO (METRO VILA SONIA)
33,EMBU DAS ARTES (ENGENHO VELHO),SAO PAULO (METRO VILA SONIA)
34,ITAPECERICA DA SERRA (JARDIM SAO MARCOS),ITAPECERICA DA SERRA (JARDIM DAS OLIVEIRAS)
35,COTIA (MIRANTE DA MATA),SAO PAULO (METRO BUTANTA)
36,VARGEM GRANDE PAULISTA (JARDIM SAO MARCOS),SAO PAULO (METRO MORUMBI)
